索引	类别	原始问	英语	分词
8177	life-insurance	我可以在我的丈夫身上买人寿吗？	Can  I  Buy  Life  Insurance  On  My  Ex  Husband?	我 可以 在 我 丈夫 身上 买 人寿
8178	medicare-insurance	医疗保险卡可以复层吗？	Can  Medicare  Cards  Be  Laminated?	医疗保险 卡 可以 复层
8179	critical-illness-insurance	严重疾病保险是否覆盖乳腺癌？	Does  Critical  Illness  Insurance  Cover  Breast  Cancer?	严重 疾病 保险 是否 覆盖 乳腺癌
8180	annuities	哪个年金对我最好？	Which  Annuity  Is  Best  For  Me?	哪个 年 金对我 最好
8181	annuities	什么是奖金年金？	What  Is  Bonus  Annuities?	什么 是 奖金 年金
8182	medicare-insurance	医疗保险支付医疗保险B部分？	Does  Medicaid  Pay  For  Medicare  Part  B?	医疗保险 支付 医疗保险 B 部分
8183	life-insurance	我可以让我的前妻保险吗？	Can  I  Keep  Life  Insurance  On  My  Ex  Husband?	我 可以 让 我 前妻 保险
8184	life-insurance	2013年最佳人寿保险供应商是什么？	What  Are  The  Best  Life  Insurance  Providers  In  2013?	2013年 最佳 人寿保险 供应商 是 什么
8185	home-insurance	宾夕法尼亚我应该在哪里买家庭保险？	Where  Should  I  Buy  Home  Insurance  In  Pennsylvania?	宾夕法尼亚 我 应该 在 哪里买 家庭 保险
8186	auto-insurance	钥匙车是保险吗？	Is  A  Keyed  Car  Covered  By  Insurance?	钥匙 车 是 保险
8187	renters-insurance	租客保险是否覆盖冰箱？	Does  Renters  Insurance  Cover  A  Refrigerator?	租客 保险 是否 覆盖 冰箱
8188	auto-insurance	汽车保险可否拒绝你？	Can  Car  Insurance  Deny  You?	汽车保险 可否 拒绝 你
8189	health-insurance	哪些健康保险涵盖一切？	Which  Health  Insurance  Covers  Everything?	哪些 健康 保险 涵盖 一切
8190	life-insurance	人寿保险可以写吗？	Can  Life  Insurance  Be  Written  Off?	人寿保险 可以 写
8191	disability-insurance	残疾保险是否是营业费用？	Is  Disability  Insurance  A  Business  Expense?	残疾 保险 是否是 营业费用
8192	home-insurance	我需要什么信息获得家庭保险？	What  Information  Do  I  Need  To  Get  Home  Insurance?	我 需要 什么 信息 获得 家庭 保险
8193	home-insurance	家庭保险是否包括车库门？	Does  Home  Insurance  Cover  Garage  Doors?	家庭 保险 是否 包括 车库 门
8194	life-insurance	士兵可以得到人寿保险吗？	Can  Soldiers  Get  Life  Insurance?	士兵 可以 得到 人寿保险
8195	home-insurance	什么时候买房主保险？	When  Do  I  Buy  Homeowners  Insurance?	什么 时候 买 房主 保险
8196	home-insurance	家庭保险是否像内容保险一样？	Is  Home  Insurance  The  Same  As  Contents  Insurance?	家庭 保险 是否 像 内容 保险 一样
8197	life-insurance	是SGLI期限还是全寿险？	Is  SGLI  Term  Or  Whole  Life  Insurance?	是 SGLI 期限 还是 全寿 险
8198	annuities	年金成本是多少？	What  Is  Cost  Basis  In  Annuities?	年金 成本 是 多少
8199	annuities	如何推广可变年金？	How  To  Pitch  A  Variable  Annuity?	如何 推广 可变 年金
8200	retirement-plans	退休计划是自雇人员？	What  Retirement  Plan  Is  For  Self  Employed?	退休 计划 是 自雇 人员
8201	home-insurance	我的家庭保险应扣除什么？	What  Should  My  Deductible  Be  For  My  Home  Insurance?	我 家庭 保险 应 扣除 什么
8202	life-insurance	一个吸烟者多少支付人寿保险？	How  Much  More  Does  A  Smoker  Pay  For  Life  Insurance?	一个 吸烟者 多少 支付 人寿保险
8203	life-insurance	人寿保险何时失效？	When  Does  A  Life  Insurance  Policy  Lapse?	人寿保险 何时 失效
8204	life-insurance	我可以在我的丈夫身上取得人寿保险吗？	Can  I  Take  Out  A  Life  Insurance  Policy  On  My  Ex  Husband?	我 可以 在 我 丈夫 身上 取得 人寿保险
8205	medicare-insurance	医疗保险卡的B1意味着什么？	What  Does  B1  Mean  On  A  Medicare  Card?	医疗保险 卡 B 1 意味着 什么
8206	life-insurance	什么是期限人寿保险？	What  Is  Term  Life  Insurance?	什么 是 期限 人寿保险
8207	medicare-insurance	医疗保险覆盖Cialis为BPH？	Does  Medicare  Cover  Cialis  For  BPH?	医疗保险 覆盖 Cialis 为 BPH
8208	retirement-plans	什么时候是Roth IRA免税？	When  Is  A  Roth  IRA  Tax  Free?	什么 时候 是 Roth IRA 免税
8209	annuities	你可以把401K变成可变年金吗？	Can  You  Roll  A  401K  Into  A  Variable  Annuity?	你 可以 把 401 K 变成 可变 年金
8210	critical-illness-insurance	我在南达科他州需要严重的疾病保险吗？	Do  I  Need  Critical  Illness  Insurance  In  South  Dakota?	我 在 南达科他州 需要 严重 疾病 保险
8211	medicare-insurance	如果我没有工作，我可以得到医疗保险吗？	Can  I  Get  Medicare  If  I  Never  Worked?	如果 我 没有 工作 我 可以 得到 医疗保险
8212	long-term-care-insurance	我需要多少长期护理保险？	How  Much  Long  Term  Care  Insurance  Do  I  Need?	我 需要 多少 长期 护理 保险
8213	annuities	谁监管年金？	Who  Regulates  Annuities?	谁 监管 年 金
8214	health-insurance	Aarp提供健康保险？	Does  Aarp  Provide  Health  Insurance?	Aarp 提供 健康 保险
8215	retirement-plans	什么是集团退休储蓄计划？	What  Is  Group  Retirement  Savings  Plan?	什么 是 集团 退休 储蓄 计划
8216	renters-insurance	通常在租户保险范围内是什么？	What  Is  Usually  Covered  Under  Renters  Insurance?	通常 在 租户 保险 范围内 是 什么
8217	life-insurance	我可以取消定期人寿保险吗？	Can  I  Cancel  Term  Life  Insurance?	我 可以 取消 定期 人寿保险
8218	auto-insurance	没有汽车保险是非法的吗？	Is  It  Illegal  To  Drive  Without  Car  Insurance?	没有 汽车保险 是 非法
8219	life-insurance	如何找出人寿保险政策的受益人？	How  To  Find  Out  The  Beneficiary  Of  A  Life  Insurance  Policy?	如何 找出 人寿保险 政策 受益人
8220	retirement-plans	什么是Uni-K退休计划？	What  Is  A  Uni-K  Retirement  Plan?	什么 是 Uni-K 退休 计划
8221	auto-insurance	如何成为汽车保险代理？	How  To  Become  A  Car  Insurance  Agent?	如何 成为 汽车保险 代理
8222	renters-insurance	为什么租户购买自己的保险？	Why  Should  Renters  Purchase  Their  Own  Insurance?	为什么 租户 购买 自己 保险
8223	annuities	可变年金有多好？	How  Good  Are  Variable  Annuities?	可变 年 金有多 好
8224	home-insurance	邮局不认可的房屋业主保险。如何获得报价？	Homeowners  Insurance  On  New  Build  Not  Recognized  By  Post  Office.  How  Do  I  Get  A  Quote?	邮局 不 认可 房屋 业主 保险 如何 获得 报价
8225	health-insurance	如果您的健康保险被取消，该怎么办？	What  To  Do  If  Your  Health  Insurance  Is  Cancelled?	如果 您 健康 保险 被 取消 该 怎么办
8226	annuities	如何解释可变年金？	How  To  Explain  Variable  Annuities?	如何 解释 可变 年金
8227	home-insurance	家庭保险索赔要花多长时间？	How  Long  Does  It  Take  For  A  Home  Insurance  Claim  To  Be  Settled?	家庭 保险 索赔 要 花 多长时间
8228	health-insurance	你会被强迫健康保险吗？	Will  You  Be  Forced  To  Have  Health  Insurance?	你 会 被 强迫 健康 保险
8229	home-insurance	房主保险是否覆盖电力浪费？	Does  Homeowners  Insurance  Cover  Power  Surge  Damage?	房主 保险 是否 覆盖 电力 浪费
8230	life-insurance	人寿保险是什么？	What  Is  An  Absolute  Assignment  In  Life  Insurance?	人寿保险 是 什么
8231	life-insurance	驾驶记录如何影响人寿保险？	How  Does  Driving  Record  Affect  Life  Insurance?	驾驶 记录 如何 影响 人寿保险
8232	home-insurance	房主保险覆盖屋顶泄漏？	Is  A  Roof  Leak  Covered  By  Homeowners  Insurance?	房主 保险 覆盖 屋顶 泄漏
8233	auto-insurance	意外事故影响新泽西州的汽车保险？	How  Long  Do  Accidents  Affect  Car  Insurance  In  New  Jersey?	意外事故 影响 新泽西 州 汽车保险
8234	medicare-insurance	医疗保险涵盖的技能护理？	Is  Skilled  Nursing  Covered  By  Medicare?	医疗保险 涵盖 技能 护理
8235	health-insurance	18岁以上健康保险费用多少？	How  Much  Does  Health  Insurance  Cost  For  A  18  Year  Old?	18 岁 以上 健康 保险费用 多少
8236	life-insurance	你可以借用人寿保险吗？	Can  You  Borrow  Against  A  Life  Insurance  Policy?	你 可以 借用 人寿保险
8237	life-insurance	我们现在在我们的老年人，经济困难，把现金价值交给我丈夫的人寿保险是明智的。这是一生一生付出的政策。	We  are  now  in  our  elder  years  and  are  having  financial  difficulties,  would  it  be  wise  to  surrender  my  husbands  life  insurance  policy  for  its  cash  value.  It  is  a  whole  life  paid  up  policy.	我们 现在 在 我们 老年人 经济 困难 把 现金 价值 交给 我 丈夫 人寿保险 是 明智 这 是 一生 一生 付出 政策
8238	long-term-care-insurance	我应该多少长期护理保险？	How  Much  Long  Term  Care  Insurance  Should  I  Get?	我 应该 多少 长期 护理 保险
8239	retirement-plans	什么是雇主赞助退休计划？	What  Is  An  Employer  Sponsored  Retirement  Plan?	什么 是 雇主 赞助 退休 计划
8240	home-insurance	你的房主保险可以取消你吗？	Can  Your  Homeowners  Insurance  Cancel  You?	你 房主 保险 可以 取消 你
8241	life-insurance	哪里可以为癌症患者提供人寿保险？	Where  Can  I  Get  Life  Insurance  For  Cancer  Patients?	哪里 可以 为 癌症 患者 提供 人寿保险
8242	life-insurance	购买人寿时需要什么？	What  To  Look  For  When  Purchasing  Life  Insurance?	购买人 寿 时 需要 什么
8243	long-term-care-insurance	什么是长期护理保险？	What  Is  Long  Term  Care  Insurance  For?	什么 是 长期 护理 保险
8244	home-insurance	您的家庭保险多久索赔？	How  Long  Does  A  Claim  Stay  On  Your  Home  Insurance?	您 家庭 保险 多久 索赔
8245	annuities	固定年金工作吗？	Do  Fixed  Annuities  Work?	固定 年金 工作
8246	home-insurance	房主保险是否覆盖泳池泄漏？	Does  Homeowners  Insurance  Cover  Pool  Leaks?	房主 保险 是否 覆盖 泳池 泄漏
8247	home-insurance	什么问题要求家庭保险？	What  Questions  To  Ask  When  Getting  Home  Insurance?	什么 问题 要求 家庭 保险
8248	disability-insurance	需要多长时间才能获得残疾保险？	How  Long  Does  It  Take  To  Get  Disability  Insurance?	需要 多长时间 才能 获得 残疾 保险
8249	life-insurance	人寿保险的价值是多少？	How  Much  Is  A  Life  Insurance  Policy  Worth?	人寿保险 价值 是 多少
8250	auto-insurance	一个人的汽车保险多少钱？	How  Much  Is  Car  Insurance  For  A  Single  Person?	一个 人 汽车保险 多少 钱
8251	life-insurance	谁会购买我的人寿保险？	Who  Will  Buy  My  Life  Insurance  Policy?	谁 会 购买 我 人寿保险
8252	renters-insurance	租客保险为酒店付款吗？	Does  Renters  Insurance  Pay  For  Hotel?	租客 保险 为 酒店 付款
8253	life-insurance	为什么公司提供人寿保险？	Why  Do  Companies  Offer  Life  Insurance?	为什么 公司 提供 人寿保险
8254	health-insurance	国民卫队有健康保险吗？	Does  The  National  Guard  Have  Health  Insurance?	国民 卫队 有 健康 保险
8255	disability-insurance	你在哪里买残疾保险？	Where  Do  You  Buy  Disability  Insurance?	你 在 哪里买 残疾 保险
8256	health-insurance	为什么在线购买健康保险？	Why  Buy  Health  Insurance  Online?	为什么 在线 购买 健康 保险
8257	auto-insurance	什么保险需要租车？	What  Insurance  Is  Necessary  For  Car  Rental?	什么 保险 需要 租车
8258	medicare-insurance	如何上诉医疗保障拒绝？	How  To  Appeal  Medicare  Denial?	如何 上诉 医疗保障 拒绝
8259	health-insurance	零免赔额健康保险是什么？	What  Is  Zero  Deductible  Health  Insurance?	零 免赔额 健康 保险 是 什么
8260	auto-insurance	康乃迪克州没有汽车保险是什么？	What  Is  The  Fine  For  Not  Having  Car  Insurance  In  Connecticut?	康乃迪 克州 没有 汽车保险 是 什么
8261	health-insurance	健康保险费用自雇吗？	What  Does  Health  Insurance  Cost  For  Self-Employed?	健康 保险费用 自雇
8262	medicare-insurance	医疗保险覆盖血压计？	Will  Medicare  Cover  Blood  Pressure  Monitor?	医疗保险 覆盖 血压计
8263	life-insurance	我们应该买多少人寿保险？	How  Much  Life  Insurance  Should  We  Buy?	我们 应该 买 多少 人寿保险
8264	life-insurance	我可以从我的人寿保险政策中获得资金吗？	Can  I  Get  Money  From  My  Term  Life  Insurance  Policy?	我 可以 从 我 人寿保险 政策 中 获得 资金
8265	life-insurance	你如何兑现人寿保险？	How  Can  You  Cash  Out  A  Life  Insurance  Policy?	你 如何 兑现 人寿保险
8266	medicare-insurance	医疗费用报告何时到期？	When  Is  Medicare  Cost  Report  Due?	医疗 费用 报告 何时 到期
8267	retirement-plans	401K考虑收入吗？	Is  401K  Considered  Income?	401 K 考虑 收入
8268	auto-insurance	汽车保险如何保护您？	How  Does  Auto  Insurance  Protect  You?	汽车保险 如何 保护 您
8269	life-insurance	什么是高风险人寿保险？	What  Is  High  Risk  Life  Insurance?	什么 是 高风险 人寿保险
8270	life-insurance	如何投降Kotak人寿保险？	How  To  Surrender  Kotak  Life  Insurance  Policy?	如何 投降 Kotak 人寿保险
8271	life-insurance	有什么种类的人寿保险？	What  Kinds  Of  Life  Insurance  Is  There?	有 什么 种类 人寿保险
8272	life-insurance	如果你吸烟，你能得到人寿保险吗？	Can  You  Get  Life  Insurance  If  You  Smoke  Weed?	如果 你 吸烟 你 能 得到 人寿保险
8273	health-insurance	每个员工的健康保险费用是多少？	How  Much  Does  Health  Insurance  Cost  A  Company  Per  Employee?	每个 员工 健康 保险 费用 是 多少
8274	medicare-insurance	什么是Medicare HIB？	What  Is  Medicare  HIB?	什么 是 Medicare HIB
8275	life-insurance	什么是APS人寿保险？	What  Is  An  APS  For  Life  Insurance?	什么 是 APS 人寿保险
8276	life-insurance	什么是死亡农民人寿保险？	What  Is  Dead  Peasant  Life  Insurance?	什么 是 死亡 农民 人寿保险
8277	auto-insurance	如果我在汽车保险中出现故障，会发生什么？	What  Happens  If  I  Have  A  Lapse  In  Auto  Insurance?	如果 我 在 汽车 保险中 出现 故障 会 发生 什么
8278	auto-insurance	你能扣除汽车保险税吗？	Can  You  Deduct  Car  Insurance  On  Taxes?	你 能 扣除 汽车保险 税
8279	life-insurance	什么是最佳人寿保险？	What  Is  The  Best  Life  Insurance  To  Have?	什么 是 最佳 人寿保险
8280	renters-insurance	租赁者可以获得洪水保险吗？	Can  Renters  Get  Flood  Insurance?	租赁者 可以 获得 洪水 保险
8281	renters-insurance	为什么我需要租赁保险？	Why  Would  I  Need  Renters  Insurance?	为什么 我 需要 租赁 保险
8282	disability-insurance	短期残疾保险是否涵盖妊娠？	Does  Short  Term  Disability  Insurance  Cover  Pregnancy?	短期 残疾 保险 是否 涵盖 妊娠
8283	medicare-insurance	是医疗保险覆盖的Azilect吗？	Is  Azilect  Covered  By  Medicare?	是 医疗保险 覆盖 Azilect
8284	health-insurance	新生儿健康保险费用多少？	How  Much  Does  Health  Insurance  Cost  For  A  Newborn?	新生儿 健康 保险费用 多少
8285	life-insurance	为什么人寿很难卖？	Why  Is  Life  Insurance  Hard  To  Sell?	为什么 人寿 很难 卖
8286	auto-insurance	哪里可以获得年轻车手廉价汽车保险？	Where  Can  I  Get  Cheap  Car  Insurance  For  Young  Drivers?	哪里 可以 获得 年轻 车手 廉价 汽车保险
8287	life-insurance	可以将人寿保险转化为全寿命吗？	Can  Term  Life  Insurance  Be  Converted  To  Whole  Life?	可以 将 人寿保险 转化 为 全 寿命
8288	home-insurance	我的房主保险是否包租？	Does  My  Homeowners  Insurance  Cover  Renters?	我 房主 保险 是否 包租
8289	home-insurance	哪里可以获得廉价的房主保险？	Where  To  Get  Cheap  Homeowners  Insurance?	哪里 可以 获得 廉价 房主 保险
8290	medicare-insurance	医疗保健系统如何影响？	How  Does  Medicare  Impact  The  Healthcare  System?	医疗保健 系统 如何 影响
8291	disability-insurance	多少有足够的残疾保险？	How  Much  Is  Enough  Disability  Insurance?	多少 有 足够 残疾 保险
8292	life-insurance	如果我取消我的人寿保险会发生什么？	What  Happens  If  I  Cancel  My  Life  Insurance?	如果 我 取消 我 人寿保险 会 发生 什么
8293	other-insurance	什么类型的保险，一个企业租房子的人需要？	What  types  of  insurance  would  a  business  that  rents  out  houses  to  people  need?	什么 类型 保险 一个 企业 租房子 人 需要
8294	auto-insurance	您需要驾驶执照才能在蒙大拿州获得汽车保险吗？	Do  You  Need  A  Driver  License  To  Get  Car  Insurance  In  Montana?	您 需要 驾驶执照 才能 在 蒙大拿州 获得 汽车保险
8295	life-insurance	退伍军人有人寿保险吗？	Is  There  Life  Insurance  For  Veterans?	退伍军人 有 人寿保险
8296	life-insurance	委托书可以换人寿保险受益人吗？	Can  A  Power  Of  Attorney  Change  A  Life  Insurance  Beneficiary?	委托书 可以 换 人寿保险 受益人
8297	retirement-plans	哪里打开罗斯401K？	Where  To  Open  A  Roth  401K?	哪里 打 开罗 斯 401 K
8298	life-insurance	谁是人寿保险的主要受益人？	Who  Is  Primary  Beneficiary  Of  Life  Insurance?	谁 是 人寿保险 主要 受益人
8299	health-insurance	什么是德国最好的健康保险？	What  Is  The  Best  Health  Insurance  In  Germany?	什么 是 德国 最好 健康 保险
8300	home-insurance	你可以没有房主保险的抵押吗？	Can  You  Have  A  Mortgage  Without  Homeowners  Insurance?	你 可以 没有 房主 保险 抵押
8301	disability-insurance	你可以收集妊娠的残疾保险吗？	Can  You  Collect  Disability  Insurance  For  Pregnancy?	你 可以 收集 妊娠 残疾 保险
8302	disability-insurance	残疾保险是否涵盖心理健康？	Does  Disability  Insurance  Cover  Mental  Health?	残疾 保险 是否 涵盖 心理健康
8303	medicare-insurance	为什么医疗保险不支付折光？	Why  Does  Medicare  Not  Pay  For  Refraction?	为什么 医疗保险 不 支付 折光
8304	auto-insurance	你能得到少于一年的汽车保险吗？	Can  You  Get  Car  Insurance  For  Less  Than  A  Year?	你 能 得到 少于 一 年 汽车保险
8305	life-insurance	全人寿保险是否具有现金价值？	Does  Whole  Life  Insurance  Have  Cash  Value?	全 人寿保险 是否 具有 现金 价值
8306	life-insurance	威斯康星州我应该在哪里购买人寿保险？	Where  Should  I  Buy  Life  Insurance  In  Wisconsin?	威斯康星州 我 应该 在 哪里 购买 人寿保险
8307	long-term-care-insurance	购买长期护理保险需要什么？	What  To  Look  For  When  Buying  Long  Term  Care  Insurance?	购买 长期 护理 保险 需要 什么
8308	life-insurance	我可以有多少人寿保险？	How  Many  Life  Insurance  Policies  Can  I  Have?	我 可以 有 多少 人寿保险
8309	life-insurance	如何创建人寿保险信托？	How  To  Create  A  Life  Insurance  Trust?	如何 创建 人寿保险 信托
8310	health-insurance	健康保险中的医疗损失率是多少？	What  Is  Medical  Loss  Ratio  In  Health  Insurance?	健康 保险 中的 医疗 损失率 是 多少
8311	life-insurance	为什么全人寿保险好？	Why  Is  Whole  Life  Insurance  Good?	为什么 全 人寿保险 好
8312	life-insurance	如何取消地球人寿保险？	How  To  Cancel  A  Globe  Life  Insurance  Policy?	如何 取消 地球 人寿 保险
8313	renters-insurance	Allstate Renters Insurance Cover Moving？	Does  Allstate  Renters  Insurance  Cover  Moving?	Allstate Renters Insurance Cover Moving
8314	renters-insurance	追逐有租赁保险吗？	Does  Chase  Have  Renters  Insurance?	追逐 有 租赁 保险
8315	life-insurance	为什么戴夫拉姆西反对全人寿保险？	Why  Is  Dave  Ramsey  Against  Whole  Life  Insurance?	为什么 戴夫 拉姆西 反对 全 人寿保险
8316	renters-insurance	你可以索赔您的税收保险吗？	Can  You  Claim  Renters  Insurance  On  Your  Taxes?	你 可以 索赔 您 税收 保险
8317	home-insurance	什么公司有最便宜的家庭保险在宾夕法尼亚州？	What  Company  Has  The  Cheapest  Home  Insurance  In  Pennsylvania?	什么 公司 有 最 便宜 家庭 保险 在 宾夕法尼亚州
8318	home-insurance	如何获得房主保险？	How  To  Obtain  Homeowners  Insurance?	如何 获得 房主 保险
8319	medicare-insurance	什么是医疗保险替代政策？	What  Is  A  Medicare  Replacement  Policy?	什么 是 医疗保险 替代 政策
8320	retirement-plans	你能有一个罗斯401K和一个传统的401K？	Can  You  Have  A  Roth  401K  And  A  Traditional  401K?	你 能 有 一个 罗斯 401 K 和 一个 传统 401 K
8321	long-term-care-insurance	Aarp提供长期护理保险？	Does  Aarp  Offer  Long  Term  Care  Insurance?	Aarp 提供 长期 护理 保险
8322	medicare-insurance	我可以去医疗保险的医生吗？	Can  I  Go  To  Any  Doctor  With  Medicare?	我 可以 去 医疗保险 医生
8323	life-insurance	哪里购买期限人寿保险？	Where  To  Purchase  Term  Life  Insurance?	哪里 购买 期限 人寿保险
8324	home-insurance	你能改变房主的保险吗？	Can  You  Change  Homeowners  Insurance?	你 能 改变 房主 保险
8325	life-insurance	什么是军人集团人寿保险？	What  Is  Servicemen  Group  Life  Insurance?	什么 是 军人 集团 人寿保险
8326	life-insurance	人寿保险的税收影响是什么？	What  Are  The  Tax  Implications  Of  Life  Insurance?	人寿保险 税收 影响 是 什么
8327	life-insurance	现金价值从人寿保险政策免税吗？	Is  Cash  Value  From  A  Life  Insurance  Policy  Tax  Free?	现金 价值 从 人寿保险 政策 免税
8328	health-insurance	雇主要提供健康保险吗？	Does  An  Employer  Have  To  Offer  Health  Insurance?	雇 主要 提供 健康 保险
8329	annuities	何时推出增强型年金？	When  Were  Enhanced  Annuities  Introduced?	何时 推出 增强型 年金
8330	life-insurance	费伦可以有人寿保险吗？	Can  Felons  Have  Life  Insurance?	费伦 可以 有 人寿保险
8331	medicare-insurance	CPAP耗材多久会出现医疗费用？	How  Often  Will  Medicare  Pay  For  CPAP  Supplies?	CPAP 耗材 多久 会 出现 医疗 费用
8332	medicare-insurance	很多医生说医疗保险是更好的，人力不会支付很多东西。这是真的？	A  Lot  Of  Doctors  Say  Medicare  Is  Better  And  Humana  Won't  Pay  For  A  Lot  Of  Things.  Is  This  True?	很多 医生 说 医疗保险 是 更好 人力 不会 支付 很多 东西 这 是 真的
8333	health-insurance	什么是保险健康保险？	What  Is  Assurant  Health  Insurance?	什么 是 保险 健康 保险
8334	home-insurance	当您的房主保险索赔被拒绝时该怎么办？	What  To  Do  When  Your  Homeowners  Insurance  Claim  Is  Denied?	当 您 房主 保险 索赔 被 拒绝 时 该 怎么办
8335	life-insurance	人寿保险是否需要？	Is  Life  Insurance  Required?	人寿保险 是否 需要
8336	health-insurance	信用保险在健康保险中意味着什么？	What  Does  Creditable  Coverage  Mean  In  Health  Insurance?	信用 保险 在 健康 保险中 意味着 什么
8337	home-insurance	房主保险费用是多少？	What  Is  Replacement  Cost  On  Homeowners  Insurance?	房主 保险费用 是 多少
8338	auto-insurance	如何选择汽车保险范围限制？	How  To  Choose  Auto  Insurance  Coverage  Limits?	如何 选择 汽车保险 范围 限制
8339	disability-insurance	我可以获得残疾保险资格吗？	Can  I  Qualify  For  Disability  Insurance?	我 可以 获得 残疾 保险 资格
8340	auto-insurance	汽车保险涵盖多少？	How  Much  Does  Auto  Insurance  Cover?	汽车保险 涵盖 多少
8341	annuities	递延年金投降的目的是什么？	What  Is  The  Purpose  Of  Surrender  Charges  In  A  Deferred  Annuity?	递延 年金 投降 目的 是 什么
8342	life-insurance	什么是灵活的人寿保险？	What  Is  Flexible  Universal  Life  Insurance?	什么 是 灵活 人寿保险
8343	life-insurance	整个人寿保险可以放在哪里吗？	Can  A  Whole  Life  Insurance  Policy  Be  Cashed  In?	整个 人寿保险 可以 放在 哪里
8344	auto-insurance	保险是否覆盖鹿打汽车？	Does  Insurance  Cover  A  Deer  Hitting  Your  Car?	保险 是否 覆盖 鹿打 汽车
8345	life-insurance	如果您吸烟，人寿保险公司如何知道？	How  Does  A  Life  Insurance  Company  Know  If  You  Smoke?	如果 您 吸烟 人寿保险 公司 如何 知道
8346	disability-insurance	长期残疾福利待遇何时结束？	When  Do  Long  Term  Disability  Benefits  End?	长期 残疾 福利待遇 何时 结束
8347	health-insurance	我可以在南卡罗来纳州获得预先存在的条件的健康保险吗？	Can  I  Get  Health  Insurance  With  A  Pre  Existing  Condition  In  South  Carolina?	我 可以 在 南卡罗来纳州 获得 预先 存在 条件 健康 保险
8348	life-insurance	为什么普遍人寿保险是坏主意？	Why  Is  Universal  Life  Insurance  A  Bad  Idea?	为什么 普遍 人寿保险 是 坏主意
8349	renters-insurance	你可以多快获得租金保险？	How  Fast  Can  You  Get  Renters  Insurance?	你 可以 多 快 获得 租金 保险
8350	life-insurance	世界人寿保险是否过期？	Does  Universal  Life  Insurance  Expire?	世界 人寿保险 是否 过期
8351	life-insurance	我应该得到什么样的人寿保险？	What  Kind  Of  Life  Insurance  Should  I  Get?	我 应该 得到 什么样 人寿保险
8352	medicare-insurance	为什么当我有医疗保险和供应时，我得到内镜检查的帐单？	Why  Did  I  Get  A  Bill  For  An  Endoscopy  When  I  Have  Medicare  And  A  Supplment?	为什么 当 我 有 医疗保险 和 供应 时 我 得到 内镜 检查 帐单
8353	health-insurance	健康保险费用是多少23岁？	How  Much  Does  Health  Insurance  Cost  A  23  Year  Old?	健康 保险 费用 是 多少 23 岁
8354	health-insurance	有多少类健康保险？	How  Many  Types  Of  Health  Insurance  Are  There?	有 多少 类 健康 保险
8355	long-term-care-insurance	如何为家长购买长期护理保险？	How  To  Buy  Long  Term  Care  Insurance  For  Parents?	如何 为 家长 购买 长期 护理 保险
8356	home-insurance	如何降低房主保险？	How  To  Lower  Your  Homeowners  Insurance?	如何 降低 房主 保险
8357	renters-insurance	租客保险是否覆盖疏散？	Does  Renters  Insurance  Cover  Evacuation?	租客 保险 是否 覆盖 疏散
8358	auto-insurance	儿童可以长时间在家长汽车保险？	How  Long  Can  Children  Be  On  Parents  Auto  Insurance?	儿童 可以 长时间 在 家长 汽车保险
8359	medicare-insurance	医疗保险覆盖骨质？	Does  Medicare  Cover  Osteopaths?	医疗保险 覆盖 骨质
8360	life-insurance	什么是60岁以上的最佳人寿保险？	What  Is  The  Best  Life  Insurance  For  Over  60?	什么 是 60 岁 以上 最佳 人寿保险
8361	health-insurance	如何检查您的健康保险是否活跃？	How  To  Check  If  Your  Health  Insurance  Is  Active?	如何 检查 您 健康 保险 是否 活跃
8362	home-insurance	AAA房主保险是否覆盖Pitbulls？	Does  AAA  Homeowners  Insurance  Cover  Pitbulls?	AAA 房主 保险 是否 覆盖 Pitbulls
8363	annuities	年金是否为液体资产？	Is  Annuity  A  Liquid  Asset?	年金 是否 为 液体 资产
8364	disability-insurance	如果你怀孕，你能得到残疾保险吗？	Can  You  Get  Disability  Insurance  If  You  Are  Pregnant?	如果 你 怀孕 你 能 得到 残疾 保险
8365	renters-insurance	租金保险涵盖什么？	What  Is  Covered  By  Renters  Insurance?	租金 保险 涵盖 什么
8366	renters-insurance	你可以在非法的公寓租赁保险吗？	Can  You  Get  Renters  Insurance  On  An  Illegal  Apartment?	你 可以 在 非法 公寓 租赁 保险
8367	life-insurance	人寿保险与人寿保险的区别是什么？	What  Is  The  Difference  Between  Life  Insurance  And  Term  Life  Insurance?	人寿保险 与 人寿保险 区别 是 什么
8368	auto-insurance	PD在汽车保险中有什么作用？	What  Does  PD  Stand  For  In  Auto  Insurance?	PD 在 汽车 保险中 有 什么 作用
8369	life-insurance	人寿保险公司可以告诉你吸烟吗？	Can  Life  Insurance  Companies  Tell  If  You  Smoke?	人寿保险 公司 可以 告诉 你 吸烟
8370	health-insurance	谁保险公司？	Who  Rates  Health  Insurance  Companies?	谁 保险公司
8371	retirement-plans	合格退休计划是什么意思？	What  Does  A  Qualified  Retirement  Plan  Mean?	合格 退休 计划 是 什么 意思
8372	auto-insurance	在哪里可以获得汽车保险报价？	Where  Can  I  Get  Auto  Insurance  Quotes?	在 哪里 可以 获得 汽车保险 报价
8373	long-term-care-insurance	谁是最大的长期护理保险提供者？	Who  Are  The  Largest  Long  Term  Care  Insurance  Providers?	谁 是 最大 长期 护理 保险 提供者
